REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-19,Prince Edward Island,2016A000211,Used car dealers [44112],Unadjusted,Dollars,81,thousands,3,v52367448,3.5.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,Other motor vehicle dealers [4412],Unadjusted,Dollars,81,thousands,3,v52367449,3.6.1,4417,B,,,0
Sep-19,Prince Edward Island,2016A000211,"Automotive parts, accessories and tire stores [4413]",Unadjusted,Dollars,81,thousands,3,v52367450,3.7.1,5358,A,,,0
Sep-19,Prince Edward Island,2016A000211,Furniture and home furnishings stores [442],Unadjusted,Dollars,81,thousands,3,v52367451,3.8.1,4651,A,,,0
Sep-19,Prince Edward Island,2016A000211,Furniture stores [4421],Unadjusted,Dollars,81,thousands,3,v52367452,3.9.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,Home furnishings stores [4422],Unadjusted,Dollars,81,thousands,3,v52367425,3.10.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,Electronics and appliance stores [443],Unadjusted,Dollars,81,thousands,3,v52367426,3.11.1,2191,A,,,0
Sep-19,Prince Edward Island,2016A000211,Building material and garden equipment and supplies dealers [444],Unadjusted,Dollars,81,thousands,3,v52367427,3.12.1,25095,A,,,0
Sep-19,Prince Edward Island,2016A000211,Food and beverage stores [445],Unadjusted,Dollars,81,thousands,3,v52367428,3.13.1,45257,A,,,0
Sep-19,Prince Edward Island,2016A000211,Grocery stores [4451],Unadjusted,Dollars,81,thousands,3,v52367429,3.14.1,36909,A,,,0
Sep-19,Prince Edward Island,2016A000211,Supermarkets and other grocery (except convenience) stores? [44511],Unadjusted,Dollars,81,thousands,3,v52367430,3.15.1,34502,A,,,0
Sep-19,Prince Edward Island,2016A000211,Convenience stores [44512],Unadjusted,Dollars,81,thousands,3,v52367431,3.16.1,2407,A,,,0
Sep-19,Prince Edward Island,2016A000211,Specialty food stores [4452],Unadjusted,Dollars,81,thousands,3,v52367432,3.17.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,"Beer, wine and liquor stores [4453]",Unadjusted,Dollars,81,thousands,3,v52367433,3.18.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,Health and personal care stores [446],Unadjusted,Dollars,81,thousands,3,v52367434,3.19.1,14863,B,,,0
Sep-19,Prince Edward Island,2016A000211,Gasoline stations [447],Unadjusted,Dollars,81,thousands,3,v52367436,3.20.1,26650,A,,,0
Sep-19,Prince Edward Island,2016A000211,Clothing and clothing accessories stores [448],Unadjusted,Dollars,81,thousands,3,v52367437,3.21.1,7566,A,,,0
Sep-19,Prince Edward Island,2016A000211,Clothing stores [4481],Unadjusted,Dollars,81,thousands,3,v52367438,3.22.1,6254,A,,,0
Sep-19,Prince Edward Island,2016A000211,Shoe stores [4482],Unadjusted,Dollars,81,thousands,3,v52367439,3.23.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,"Jewellery, luggage and leather goods stores [4483]",Unadjusted,Dollars,81,thousands,3,v52367440,3.24.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,"Sporting goods, hobby, book and music stores [451]",Unadjusted,Dollars,81,thousands,3,v52367441,3.25.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,General merchandise stores [452],Unadjusted,Dollars,81,thousands,3,v52367442,3.26.1,18296,A,,,0
Sep-19,Prince Edward Island,2016A000211,Department stores [4521],Unadjusted,Dollars,81,thousands,3,v52367443,3.27.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,Other general merchandise stores [4529],Unadjusted,Dollars,81,thousands,3,v52367444,3.28.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,Miscellaneous store retailers [453],Unadjusted,Dollars,81,thousands,3,v52367445,3.29.1,,x,,,0
Sep-19,Prince Edward Island,2016A000211,Cannabis stores [453993],Unadjusted,Dollars,81,thousands,3,v1035339084,3.30.1,1398,A,,,0
Sep-19,Nova Scotia,2016A000212,Retail trade [44-45],Unadjusted,Dollars,81,thousands,3,v52367453,4.1.1,1367576,A,,,0
Sep-19,Nova Scotia,2016A000212,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,3,v52367454,4.1.2,1374466,A,,,0
